flow_duration,packet_count,bytes_total,avg_pkt_size,std_pkt_size,max_pkt_size,min_pkt_size,packets_per_sec,bytes_per_sec,traffic_category
13.106,30,2976,99.2,16.58,127,66,2.29,227.08,ICMP
115.03,1165,1506228,1292.9,109.28,1480,1101,10.13,13094.22,Video
71.31,892,1149513,1288.69,110.99,1480,1100,12.51,16119.87,Video
5.172,56,40615,738.45,525.51,1454,66,10.83,7853.23,Web
35.074,381,489866,1285.74,111.83,1480,1100,10.86,13966.62,Video
11.597,48,35201,748.96,534.9,1460,64,4.14,3035.24,Web
11.87,88,63031,724.49,503.7,1450,80,7.41,5310.26,Web
61.779,370,476827,1288.72,111.33,1480,1100,5.99,7718.22,Video
32.114,2913,4225075,1450.42,29.09,1500,1400,90.71,131564.8,FileTransfer
41.497,591,118796,201.01,36.32,260,140,14.24,2862.79,VoIP
7.338,81,58892,736.15,517.11,1459,64,11.04,8025.57,Web
38.959,666,134634,202.15,34.97,260,140,17.09,3455.77,VoIP
109.284,1282,1652955,1289.36,111.64,1480,1100,11.73,15125.25,Video
35.948,908,1171930,1290.67,110.51,1480,1100,25.26,32600.32,Video
10.086,2880,4176895,1450.31,29.06,1500,1400,285.53,414108.37,FileTransfer
114.354,984,1268989,1289.62,110.4,1479,1100,8.6,11097.03,Video
29.107,134,26421,197.17,33.03,259,140,4.6,907.73,VoIP
19.143,443,88722,200.28,34.19,260,140,23.14,4634.74,VoIP
11.257,33,3209,97.24,18.72,127,68,2.93,285.06,ICMP
12.911,621,803002,1293.08,107.34,1479,1100,48.1,62192.84,Video
11.397,17,1576,92.71,23.4,128,64,1.49,138.28,ICMP
3.995,44,4239,96.34,18.12,128,67,11.01,1061.1,ICMP
11.531,1086,1400607,1289.69,109.12,1480,1100,94.18,121467.96,Video
10.622,58,43475,762.72,533.5,1451,64,5.46,4093.02,Web
8.566,96,67891,714.64,495.54,1451,64,11.21,7925.95,Web
9.396,41,30026,750.65,533.75,1459,71,4.36,3195.51,Web
10.035,220,43381,197.19,35.74,260,141,21.92,4323.05,VoIP
18.354,46,4340,94.35,19.32,127,64,2.51,236.46,ICMP
101.358,1196,1533650,1282.32,108.1,1480,1100,11.8,15131.06,Video
17.478,32,3032,94.75,16.44,128,67,1.83,173.47,ICMP
7.689,389,77062,198.1,35.19,260,140,50.59,10021.94,VoIP
6.764,439,86816,197.76,34.35,260,140,64.9,12834.86,VoIP
64.723,1125,1447125,1286.33,109.43,1480,1100,17.38,22358.85,Video
2.479,44,4279,97.25,18.86,126,64,17.75,1725.95,ICMP
18.792,947,1373874,1450.76,29.18,1500,1400,50.39,73111.18,FileTransfer
50.248,2514,3644217,1449.57,28.9,1500,1400,50.03,72523.9,FileTransfer
63.571,1424,2063159,1448.85,29.32,1500,1400,22.4,32454.54,FileTransfer
10.999,41,3851,93.93,18.1,128,64,3.73,350.13,ICMP
16.802,13,1301,100.08,18.75,125,68,0.77,77.43,ICMP
5.393,34,3341,98.26,17.98,126,68,6.3,619.46,ICMP
15.427,39,3546,90.92,20.82,128,64,2.53,229.86,ICMP
17.608,48,4840,100.83,17.72,128,64,2.73,274.87,ICMP
41.968,242,49129,203.01,35.4,260,140,5.77,1170.63,VoIP
17.74,34,3275,96.32,19.93,128,66,1.92,184.61,ICMP
7.286,56,41194,748.98,521.0,1458,64,7.69,5653.7,Web
2.14,49,4794,97.84,18.35,128,64,22.9,2240.63,ICMP
8.009,133,26918,202.39,34.0,260,141,16.61,3361.08,VoIP
34.844,231,46236,200.16,33.11,260,140,6.63,1326.94,VoIP
25.248,2217,3214716,1450.03,29.05,1500,1400,87.81,127324.26,FileTransfer
25.785,2773,4019942,1449.67,28.78,1500,1400,107.54,155904.33,FileTransfer
19.495,302,438096,1450.65,29.34,1500,1400,15.49,22471.97,FileTransfer
12.307,887,1285530,1449.3,29.0,1500,1400,72.07,104452.47,FileTransfer
2.66,109,79924,740.04,517.56,1453,65,40.97,30043.1,Web
40.364,176,34904,198.32,37.47,260,140,4.36,864.73,VoIP
12.689,1464,1886407,1288.53,112.59,1480,1100,115.37,148663.33,Video
19.851,2850,4132373,1449.96,29.21,1500,1400,143.57,208172.45,FileTransfer
31.578,313,62410,199.39,34.66,260,140,9.91,1976.41,VoIP
19.475,766,985989,1287.19,107.78,1480,1101,39.33,50627.93,Video
29.516,871,1119393,1285.18,109.76,1480,1100,29.51,37924.63,Video
52.624,1042,1342716,1288.6,109.58,1480,1100,19.8,25515.32,Video
1.723,112,81953,738.32,508.25,1455,71,65.02,47576.04,Web
22.064,1224,1572932,1285.08,113.16,1480,1100,55.48,71289.67,Video
58.491,139,28293,203.55,35.37,260,141,2.38,483.72,VoIP
5.671,23,15304,695.64,512.05,1424,65,4.06,2698.85,Web
17.01,437,562666,1287.57,109.7,1478,1101,25.69,33079.01,Video
56.192,223,44367,198.96,33.55,260,140,3.97,789.57,VoIP
9.111,75,51585,687.8,478.73,1437,65,8.23,5661.67,Web
6.705,21,2071,98.62,18.61,127,65,3.13,308.86,ICMP
14.377,71,51074,729.63,515.96,1438,74,4.94,3552.46,Web
2.392,28,2702,96.5,18.04,126,65,11.7,1129.48,ICMP
6.109,17,12026,751.62,504.89,1401,79,2.78,1968.45,Web
18.658,464,673121,1450.69,28.53,1500,1400,24.87,36076.37,FileTransfer
34.337,382,75873,198.62,33.33,260,140,11.13,2209.68,VoIP
11.609,14,1355,96.79,17.84,118,67,1.21,116.72,ICMP
66.126,1204,1554910,1291.45,108.58,1480,1100,18.21,23514.28,Video
35.619,583,118097,202.57,33.87,260,140,16.37,3315.61,VoIP
47.159,1291,1872098,1450.11,29.44,1500,1400,27.38,39697.76,FileTransfer
8.785,28,2679,95.68,20.1,126,64,3.19,304.95,ICMP
10.712,34,3350,98.53,17.51,128,65,3.17,312.73,ICMP
6.895,2367,3432497,1450.15,28.73,1500,1400,343.28,497811.05,FileTransfer
100.015,1473,1901391,1290.83,110.64,1480,1100,14.73,19010.98,Video
3.585,57,40262,718.96,486.8,1404,74,15.9,11229.17,Web
36.502,485,97522,201.08,35.11,260,140,13.29,2671.66,VoIP
65.602,2784,4036661,1449.95,29.35,1500,1400,42.44,61532.27,FileTransfer
5.111,48,33821,719.6,514.93,1432,64,9.39,6617.73,Web
19.151,38,3400,89.47,18.19,127,64,1.98,177.53,ICMP
82.875,1395,1800601,1290.75,111.69,1480,1100,16.83,21726.79,Video
57.505,613,124112,202.47,34.7,260,140,10.66,2158.29,VoIP
8.836,46,4355,94.67,17.7,128,64,5.21,492.86,ICMP
39.445,253,51632,204.08,34.36,260,140,6.41,1308.95,VoIP
61.525,299,389205,1301.69,109.43,1480,1100,4.86,6325.92,Video
45.263,1056,1360640,1288.48,109.8,1479,1100,23.33,30061.0,Video
112.788,1348,1735271,1287.29,110.71,1480,1100,11.95,15385.3,Video
77.818,966,1242121,1285.84,107.43,1480,1100,12.41,15961.87,Video
18.414,918,1179366,1284.71,109.66,1480,1100,49.85,64046.21,Video
67.774,857,1242854,1450.24,29.17,1500,1400,12.64,18338.14,FileTransfer
80.391,1027,1487998,1448.88,28.73,1500,1400,12.78,18509.43,FileTransfer
10.105,33,23068,720.88,506.68,1458,72,3.27,2282.91,Web
5.034,221,44288,200.4,37.1,260,140,43.9,8797.08,VoIP
39.144,228,45632,200.14,35.95,260,140,5.82,1165.75,VoIP
13.062,52,37906,743.25,511.83,1428,65,3.98,2901.92,Web
87.139,1077,1385735,1286.66,111.64,1480,1100,12.36,15902.67,Video
48.348,187,37120,198.5,34.99,260,140,3.87,767.76,VoIP
2.834,34,25078,759.94,532.13,1431,74,12.0,8849.16,Web
14.02,1420,1832660,1290.61,112.0,1480,1100,101.28,130714.29,Video
15.407,39,3589,92.03,15.42,126,64,2.53,232.95,ICMP
14.335,36,26703,762.94,533.94,1449,65,2.51,1862.72,Web
55.455,2562,3713659,1449.52,29.3,1500,1400,46.2,66967.5,FileTransfer
16.936,39,3694,94.72,19.22,127,64,2.3,218.12,ICMP
34.568,742,959936,1293.71,108.67,1480,1101,21.46,27769.32,Video
3.738,16,1483,92.69,19.4,120,65,4.28,396.78,ICMP
10.942,48,36136,768.85,538.66,1435,74,4.39,3302.42,Web
16.421,948,1225972,1293.22,109.96,1480,1100,57.73,74658.64,Video
15.53,45,4254,94.53,19.19,128,65,2.9,273.92,ICMP
61.224,250,321512,1286.05,107.62,1479,1100,4.08,5251.39,Video
44.148,108,21919,202.95,34.12,260,141,2.45,496.49,VoIP
82.255,1186,1720046,1450.29,29.07,1500,1400,14.42,20911.15,FileTransfer
8.644,24,18113,787.52,533.58,1441,78,2.78,2095.56,Web
10.427,8,743,92.88,19.21,127,73,0.77,71.26,ICMP
30.696,2626,3807353,1449.87,29.49,1500,1400,85.55,124035.91,FileTransfer
97.006,1333,1721476,1291.43,110.53,1480,1100,13.74,17746.08,Video
8.254,8,779,97.38,14.5,126,77,0.97,94.38,ICMP
44.779,859,1108612,1290.58,109.02,1480,1100,19.18,24757.17,Video
52.242,1160,1681714,1449.75,29.02,1500,1400,22.2,32190.92,FileTransfer
11.504,115,82661,718.79,507.01,1458,66,10.0,7185.3,Web
26.298,1330,1930505,1451.51,29.73,1500,1400,50.57,73409.81,FileTransfer
87.695,1440,1856644,1289.34,110.48,1480,1100,16.42,21171.6,Video
29.419,118,23810,201.78,34.99,260,143,4.01,809.33,VoIP
15.64,29,2710,93.45,16.26,126,64,1.85,173.27,ICMP
11.057,85,61512,723.67,515.57,1458,64,7.69,5562.99,Web
37.219,749,149043,198.99,34.8,260,140,20.12,4004.49,VoIP
13.752,93,68500,744.57,531.26,1450,65,6.76,4980.96,Web
34.057,2979,4321123,1450.53,29.15,1500,1400,87.47,126879.26,FileTransfer
73.403,699,899981,1287.53,107.33,1479,1101,9.52,12260.81,Video
15.422,1912,2772895,1450.26,29.67,1500,1400,123.97,179795.52,FileTransfer
11.456,19,1973,103.84,21.16,128,65,1.66,172.23,ICMP
8.753,79,58544,750.56,522.93,1432,71,9.03,6688.25,Web
106.011,266,345069,1297.25,113.37,1480,1101,2.51,3255.02,Video
48.435,593,119487,201.5,34.66,260,140,12.24,2466.93,VoIP
27.777,659,131362,199.34,34.48,260,140,23.72,4729.1,VoIP
5.623,37,3405,92.03,17.62,128,66,6.58,605.52,ICMP
12.752,90,68088,756.53,528.77,1459,65,7.06,5339.28,Web
